event_id,place_id,title,start_date,end_date,source_url,raw_description,ai_tags
11,11,헬로키티 50주년 특별 글로벌 네트워킹 전,2026-07-26,2026-09-09,https://example.com/events/11,"전 세계에서 사랑받는 캐릭터 헬로키티의 탄생 50주년 특별전. 추억을 회상할 수 있어 데이트 커플과 아기자기한 캐릭터를 좋아하는 싱글, 아이가 있는 가족 모두에게 즐거움을 줍니다.",family:0.85;couple:0.88;single:0.80;실내전시;굿즈샵;유모차;주차편리;캐릭터
12,12,해외 유명 바리스타 초청 주말 에스프레소 위크,2026-07-26,2026-09-06,https://example.com/events/12,"커피 애호가들을 위한 스페셜티 에스프레소 시음 축제. 골목 전체가 개성 있는 편집숍과 베이커리로 가득 차 걷는 즐거움이 크지만, 매장이 협소하고 인파가 많습니다.",family:0.15;couple:0.96;single:0.88;카페거리;베이커리;노키즈존;핫플;골목투어
13,13,폐정수장의 친환경 생태 가치 기획 전,2026-07-26,2026-08-14,https://example.com/events/13,"정수장 공장을 개조하여 만든 독창적인 친환경 생태공원. 비교적 한적하며, 빈티지한 콘크리트 구조물 사이로 피어난 이끼와 식물들이 신비로운 분위기를 내어 사색하기 아주 좋습니다.",family:0.60;couple:0.82;single:0.92;친환경;사색;출사지;산책;한적한
14,14,삼바 피에스타 페스티벌 2026,2026-07-26,2026-09-24,https://example.com/events/14,더운 여름 실내에서 즐기는 화려한 삼바 카니발 퍼레이드와 어트랙션! 연중무휴 쾌적하게 수유실 및 유모차 대여를 이용할 수 있어 패밀리 고객층의 부동의 1위 명소입니다.,family:0.98;couple:0.87;single:0.40;실내테마파크;퍼레이드;주차편리;유모차;수유실
15,15,한성백제 고대 무덤 속 비밀 체험전,2026-07-26,2026-08-09,https://example.com/events/15,"올림픽공원 안에 위치한 조용하고 유익한 역사 박물관. 넓은 실내 공간과 철저한 장애인/유모차 경사로 설계, 그리고 무료 체험 학습지가 있어 학부모들에게 숨겨진 명소입니다.",family:0.92;couple:0.60;single:0.75;박물관;어린이체험;실내;주차편리;유모차;한적한
16,16,점심 특선 설렁탕 세트,2026-07-26,2026-08-21,https://example.com/food/16,"매일 점심 11시~2시, 설렁탕+깍두기+공기밥 세트를 특가로 제공합니다. 50년 전통의 깊고 진한 사골 육수로 만든 국밥. 어린이 전용 소메뉴도 있어 온 가족이 함께 방문하기 좋습니다.",family:0.85;couple:0.50;single:0.70;food;한식;국밥;전통;점심;주차편리
17,17,여름 한정 냉쌀국수 런칭,2026-07-26,2026-08-20,https://example.com/food/17,시원하고 담백한 냉쌀국수를 여름 한정으로 선보입니다. 성수동 골목 안 숨은 맛집으로 웨이팅이 있을 수 있으니 오픈 직후 방문을 추천드립니다.,family:0.40;couple:0.85;single:0.90;food;아시안;쌀국수;성수동;분위기맛집;데이트
18,18,시그니처 트러플 파스타 & 와인 페어링,2026-07-26,2026-08-25,https://example.com/food/18,셰프의 시그니처 트러플 크림 파스타와 이탈리아 자연 와인의 환상적인 조합. 연남동 감성 가득한 내부 인테리어에서 특별한 저녁 식사를 즐겨보세요. 사전 예약 필수입니다.,family:0.15;couple:0.98;single:0.80;food;양식;파스타;이탈리안;분위기;노키즈존;예약필수
19,19,주말 브런치 버거 세트,2026-07-26,2026-08-15,https://example.com/food/19,주말 한정 브런치 타임(10:00~13:00)에 에그 버거 + 감자튀김 + 음료가 포함된 세트를 즐길 수 있습니다. 두툼한 수제 패티와 신선한 재료를 사용합니다.,family:0.50;couple:0.90;single:0.85;food;양식;버거;브런치;이태원;데이트
20,20,제주산 생참치 특선 코스,2026-07-26,2026-08-14,https://example.com/food/20,"제주 청정 바다에서 직송한 생참치를 다양한 부위별로 즐길 수 있는 코스 요리. 가족 모임과 회식 장소로 인기가 높으며, 참치 해체 쇼도 진행됩니다.",family:0.80;couple:0.90;single:0.70;food;일식;참치회;고급;가족모임;주차편리
21,21,30년 전통 순대국밥 특선,2026-07-26,2026-08-10,https://example.com/food/21,"강남 한복판에서 30년을 이어온 노포 순대국밥. 진한 육수와 신선한 순대, 수육이 어우러진 한 그릇. 혼밥러들의 성지이며, 이른 아침부터 밤늦게까지 언제나 문을 엽니다.",family:0.60;couple:0.40;single:0.95;food;한식;순대국;노포;숨은맛집;혼밥
22,22,여름 보양식 한정식 코스,2026-07-26,2026-08-22,https://example.com/food/22,"전통 한옥을 개조한 고즈넉한 공간에서 계절 재료를 활용한 한정식을 즐겨보세요. 여름 한정으로 삼계탕 코스가 추가되었으며, 코스 예약 시 전통차 서비스가 제공됩니다.",family:0.70;couple:0.95;single:0.75;food;한식;한정식;한옥;전통;분위기맛집
23,23,여름 빙수 페스티벌,2026-07-26,2026-08-07,https://example.com/food/23,"국산 팥을 사용한 정통 팥빙수부터 말차 크림 빙수, 딸기 우유 빙수까지 다양한 빙수 메뉴를 선보입니다. SNS에서 화제가 된 비주얼로 인스타그램 성지가 된 카페입니다.",family:0.75;couple:0.90;single:0.70;food;카페;디저트;빙수;인생샷;망원동
24,24,서울숲 뷰 브런치 & 애프터눈 티,2026-07-26,2026-08-06,https://example.com/food/24,서울숲 바로 앞에 위치한 대형 통창 카페. 싱그러운 녹음을 바라보며 즐기는 에그 베네딕트와 시그니처 커피가 유명합니다. 유모차 입장 가능하며 야외 테라스도 있습니다.,family:0.88;couple:0.92;single:0.75;food;카페;브런치;서울숲;테라스;유모차
25,25,을지로 야시장 합류 포장마차 이벤트,2026-07-26,2026-08-03,https://example.com/food/25,"을지로 골목 야시장에서 만나는 바삭하고 촉촉한 수제 타코야끼. 문어 가득한 오리지널부터 치즈, 명란 등 다양한 토핑을 선택할 수 있습니다. 인스타 챌린지 진행 중.",family:0.30;couple:0.80;single:0.95;food;일식;타코야끼;야시장;을지로;야경;혼밥
26,26,아이 생일 파티 패키지,2026-07-26,2026-08-06,https://example.com/food/26,"어린이 메뉴, 생일 케이크, 파티 물품이 포함된 특별 생일 파티 패키지를 운영합니다. 수유실과 기저귀 교환대, 어린이 좌식 의자가 갖춰져 있어 영유아 동반 가족에게 안성맞춤입니다.",family:0.98;couple:0.60;single:0.30;food;양식;패밀리레스토랑;키즈;수유실;주차편리
27,27,주말 한우 모둠 구이 특선,2026-07-26,2026-08-09,https://example.com/food/27,"1++ 등급 한우 채끝, 등심, 안심을 모아 담은 주말 특선 구이 세트. 특수 부위는 매일 한정 수량 운영됩니다. 연기 없는 스마트 그릴로 쾌적한 환경에서 식사 가능합니다.",family:0.65;couple:0.90;single:0.70;food;한식;한우;고기;신사동;분위기맛집;주차편리
28,28,"2026 카즈미 타테이시 트리오 내한공연-크리스마스, 재즈를 만나다-(서울)",2026-12-24,2026-12-24,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158770&menuNo=200008,"[서울시 문화행사] 콘서트 | 2026 카즈미 타테이시 트리오 내한공연-크리스마스, 재즈를 만나다-(서울)",family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
29,28,"2026 카즈미 타테이시 트리오 내한공연-지브리, 재즈를 만나다-(서울)",2026-12-22,2026-12-22,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158691&menuNo=200008,"[서울시 문화행사] 콘서트 | 2026 카즈미 타테이시 트리오 내한공연-지브리, 재즈를 만나다-(서울)",family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
30,28,파인캐릭터 2026 (FineCharacter 2026),2026-11-27,2026-11-29,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158731&menuNo=200009,[서울시 문화행사] 전시/미술 | 파인캐릭터 2026 (FineCharacter 2026),family:0.8;couple:0.9;single:0.8;전시;문화;실시간행사
31,28,[꿈의숲아트센터] 꿈의숲 마티네 콘서트 [벨에포크 아트&뮤직] 시리즈3,2026-10-28,2026-10-28,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158447&menuNo=200008,[서울시 문화행사] 콘서트 | [꿈의숲아트센터] 꿈의숲 마티네 콘서트 [벨에포크 아트&뮤직] 시리즈3,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
32,28,[마포문화재단] 제11회 M 클래식 축제 [뮤라벨 콘서트],2026-10-28,2026-10-28,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158566&menuNo=200008,[서울시 문화행사] 클래식 | [마포문화재단] 제11회 M 클래식 축제 [뮤라벨 콘서트],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
33,28,[마포문화재단] 제11회 M 클래식 축제 [전수진의 피아니즘],2026-10-27,2026-10-27,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158565&menuNo=200008,[서울시 문화행사] 클래식 | [마포문화재단] 제11회 M 클래식 축제 [전수진의 피아니즘],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
34,28,[마포문화재단] 제11회 M 클래식 축제 [김도현x이수빈 듀오 리사이틀],2026-10-22,2026-10-22,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158564&menuNo=200008,[서울시 문화행사] 클래식 | [마포문화재단] 제11회 M 클래식 축제 [김도현x이수빈 듀오 리사이틀],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
35,28,[마포문화재단] 2026 [인디스커버리 : FESTA] TRACK 02,2026-10-17,2026-10-17,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158484&menuNo=200008,[서울시 문화행사] 콘서트 | [마포문화재단] 2026 [인디스커버리 : FESTA] TRACK 02,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
36,28,[마포문화재단] 2026 [인디스커버리 : FESTA] TRACK 01,2026-10-16,2026-10-16,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158483&menuNo=200008,[서울시 문화행사] 콘서트 | [마포문화재단] 2026 [인디스커버리 : FESTA] TRACK 01,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
37,28,[영등포문화재단] 마티네콘서트 With 금난새 #3.베버,2026-10-15,2026-10-15,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157909&menuNo=200008,[서울시 문화행사] 클래식 | [영등포문화재단] 마티네콘서트 With 금난새 #3.베버,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
38,28,[마포문화재단] 제11회 M 클래식 축제 [하나의 울림],2026-10-14,2026-10-14,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158563&menuNo=200008,[서울시 문화행사] 클래식 | [마포문화재단] 제11회 M 클래식 축제 [하나의 울림],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
39,28,"[관악문화재단] 상주단체시리즈 2 : 청춘,18대1",2026-09-18,2026-09-19,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158631&menuNo=200008,"[서울시 문화행사] 연극 | [관악문화재단] 상주단체시리즈 2 : 청춘,18대1",family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
40,28,[마포문화재단] 제11회 M 클래식 축제 [소프라노 황수미 리사이틀],2026-09-17,2026-09-17,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158562&menuNo=200008,[서울시 문화행사] 클래식 | [마포문화재단] 제11회 M 클래식 축제 [소프라노 황수미 리사이틀],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
41,28,[마포문화재단] 2026 M 아티스트 선율 피아노 리사이틀 Ⅱ,2026-09-16,2026-09-16,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157857&menuNo=200008,[서울시 문화행사] 클래식 | [마포문화재단] 2026 M 아티스트 선율 피아노 리사이틀 Ⅱ,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
42,28,[구로문화재단] 2026 이달의 공연 [사운드트립]_9월 홍진호 with 김준서&차환희,2026-09-15,2026-09-15,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158523&menuNo=200008,[서울시 문화행사] 콘서트 | [구로문화재단] 2026 이달의 공연 [사운드트립]_9월 홍진호 with 김준서&차환희,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
43,28,"[서울문화예술교육센터 서초] 음악의 집 [9월, 음악가의 사적인 플레이리스트] 음악으로 듣는 풍경",2026-09-12,2026-09-12,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158502&menuNo=200011,"[서울시 문화행사] 교육/체험 | [서울문화예술교육센터 서초] 음악의 집 [9월, 음악가의 사적인 플레이리스트] 음악으로 듣는 풍경",family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
44,28,김보람 [관통시팔],2026-09-11,2026-09-13,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158698&menuNo=200008,[서울시 문화행사] 무용 | 김보람 [관통시팔],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
45,28,[마포문화재단] 제11회 M 클래식 축제 [발렌티나 이고시나 피아노 리사이틀],2026-09-11,2026-09-11,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158561&menuNo=200008,[서울시 문화행사] 클래식 | [마포문화재단] 제11회 M 클래식 축제 [발렌티나 이고시나 피아노 리사이틀],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
46,28,[마포문화재단] 제11회 M 클래식 축제 [백건우 피아노 리사이틀],2026-09-10,2026-09-10,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158560&menuNo=200008,[서울시 문화행사] 클래식 | [마포문화재단] 제11회 M 클래식 축제 [백건우 피아노 리사이틀],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
47,28,2026 Be My OBJECT [나만의 소품&오브제 마켓],2026-09-04,2026-09-06,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158601&menuNo=200009,[서울시 문화행사] 전시/미술 | 2026 Be My OBJECT [나만의 소품&오브제 마켓],family:0.8;couple:0.9;single:0.8;전시;문화;실시간행사
48,28,2026 창극 중심 세계음악극축제,2026-09-03,2026-09-26,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158746&menuNo=200010,[서울시 문화행사] 축제-문화/예술 | 2026 창극 중심 세계음악극축제,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
49,28,수림뉴웨이브 2026 - 이준 [Golden Hour],2026-09-03,2026-09-03,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158636&menuNo=200008,[서울시 문화행사] 국악 | 수림뉴웨이브 2026 - 이준 [Golden Hour],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
50,28,[서울생활사박물관] 2026년 하반기 변장나들이,2026-09-01,2026-11-10,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158814&menuNo=200011,[서울시 문화행사] 교육/체험 | [서울생활사박물관] 2026년 하반기 변장나들이,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
51,28,[서울디자인재단] 디자인마이애미 서울 2026,2026-08-31,2026-09-06,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158808&menuNo=200009,[서울시 문화행사] 전시/미술 | [서울디자인재단] 디자인마이애미 서울 2026,family:0.8;couple:0.9;single:0.8;전시;문화;실시간행사
52,28,[은평역사한옥박물관] 2026 전통건축 장인과 만나다,2026-08-29,2026-11-28,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158762&menuNo=200011,[서울시 문화행사] 교육/체험 | [은평역사한옥박물관] 2026 전통건축 장인과 만나다,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
53,28,[서울갤러리] 런치 스테이지 [싱어송라이터 헤디],2026-08-29,2026-08-29,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158757&menuNo=200008,[서울시 문화행사] 콘서트 | [서울갤러리] 런치 스테이지 [싱어송라이터 헤디],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
54,28,[서울남산국악당] 2026 젊은국악 단장 - 창작아티스트 오늘 [다들 그러고 삽니다],2026-08-29,2026-08-29,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158776&menuNo=200008,[서울시 문화행사] 국악 | [서울남산국악당] 2026 젊은국악 단장 - 창작아티스트 오늘 [다들 그러고 삽니다],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
55,28,"[서울역사편찬원] 지도로 그린 땅, 사람이 만든 서울",2026-08-28,2026-11-20,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158784&menuNo=200011,"[서울시 문화행사] 교육/체험 | [서울역사편찬원] 지도로 그린 땅, 사람이 만든 서울",family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
56,28,2026 국악관현악축제,2026-08-28,2026-08-28,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158778&menuNo=200008,[서울시 문화행사] 국악 | 2026 국악관현악축제,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
57,28,2026년 수림뉴웨이브: 엇,2026-08-27,2026-11-05,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158634&menuNo=200008,[서울시 문화행사] 국악 | 2026년 수림뉴웨이브: 엇,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
58,28,[서초문화재단] 모차르트 피아노 협주곡 전곡 시리즈 IX,2026-08-27,2026-08-27,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158371&menuNo=200008,[서울시 문화행사] 클래식 | [서초문화재단] 모차르트 피아노 협주곡 전곡 시리즈 IX,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
59,28,수림뉴웨이브 2026 - 정상희 [엇:박],2026-08-27,2026-08-27,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158635&menuNo=200008,[서울시 문화행사] 국악 | 수림뉴웨이브 2026 - 정상희 [엇:박],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
60,28,[서울역사박물관] 제5회 서울역사박물관 배리어프리영화관 8월 상영 [미나리],2026-08-27,2026-08-27,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158807&menuNo=200013,[서울시 문화행사] 영화 | [서울역사박물관] 제5회 서울역사박물관 배리어프리영화관 8월 상영 [미나리],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
61,28,[마포문화재단] M 마티네 [2026 MAC 모닝 콘서트 ＃6],2026-08-26,2026-08-26,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157856&menuNo=200008,[서울시 문화행사] 콘서트 | [마포문화재단] M 마티네 [2026 MAC 모닝 콘서트 ＃6],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
62,28,[서울갤러리] 런치 스테이지 [하모니시스트 이한결],2026-08-26,2026-08-26,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158756&menuNo=200008,[서울시 문화행사] 콘서트 | [서울갤러리] 런치 스테이지 [하모니시스트 이한결],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
63,28,[서울돈화문국악당] 2026 국악플러그인(Gugak Plug-in) vol.3,2026-08-26,2026-08-26,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158702&menuNo=200008,[서울시 문화행사] 국악 | [서울돈화문국악당] 2026 국악플러그인(Gugak Plug-in) vol.3,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
64,28,[서울로봇인공지능과학관] 2026년 성인 대상 프로그램 [기록으로 기억하다],2026-08-25,2026-08-26,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158676&menuNo=200011,[서울시 문화행사] 교육/체험 | [서울로봇인공지능과학관] 2026년 성인 대상 프로그램 [기록으로 기억하다],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
65,28,[세종문화회관] 김혜경 워크숍 at Sync Next 26,2026-08-23,2026-08-23,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158775&menuNo=200011,[서울시 문화행사] 교육/체험 | [세종문화회관] 김혜경 워크숍 at Sync Next 26,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
66,28,[라율 영재&영아티스트] 이민선 첼로 독주회,2026-08-22,2026-08-22,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158748&menuNo=200008,[서울시 문화행사] 독주/독창회 | [라율 영재&영아티스트] 이민선 첼로 독주회,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
67,28,이은결 30주년 [ONE OF ONE],2026-08-22,2026-08-22,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158773&menuNo=200008,[서울시 문화행사] 콘서트 | 이은결 30주년 [ONE OF ONE],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
68,28,[서울시평생교육진흥원] 서울시민대학 모두의학교 캠퍼스 8월 모두공연장 페이퍼아트 뮤지컬 [종이아빠],2026-08-22,2026-08-22,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158392&menuNo=200008,[서울시 문화행사] 뮤지컬/오페라 | [서울시평생교육진흥원] 서울시민대학 모두의학교 캠퍼스 8월 모두공연장 페이퍼아트 뮤지컬 [종이아빠],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
69,28,제9회 동아주니어콩쿠르 특전 독주회 [김형완 플루트 독주회],2026-08-22,2026-08-22,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158758&menuNo=200008,[서울시 문화행사] 독주/독창회 | 제9회 동아주니어콩쿠르 특전 독주회 [김형완 플루트 독주회],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
70,28,[서울남산국악당] 2026 젊은국악 단장 - 김성 [자람의 기술 RE:GROW],2026-08-22,2026-08-22,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158723&menuNo=200008,[서울시 문화행사] 국악 | [서울남산국악당] 2026 젊은국악 단장 - 김성 [자람의 기술 RE:GROW],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
71,28,"[동작문화재단] 본동어울마당 아트홀 '본동 세레나데' 8회차 [아크기타듀오의 영화처럼, 클래식처럼]",2026-08-22,2026-08-22,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158791&menuNo=200008,"[서울시 문화행사] 클래식 | [동작문화재단] 본동어울마당 아트홀 '본동 세레나데' 8회차 [아크기타듀오의 영화처럼, 클래식처럼]",family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
72,28,"뮤지컬 [안녕, 나의 웬수 - 서울]",2026-08-22,2026-08-22,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158684&menuNo=200008,"[서울시 문화행사] 뮤지컬/오페라 | 뮤지컬 [안녕, 나의 웬수 - 서울]",family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
73,28,[서울생활문화센터 체부] 2026 행복양육프로그램 [도깨비 소동],2026-08-22,2026-08-22,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158820&menuNo=200011,[서울시 문화행사] 교육/체험 | [서울생활문화센터 체부] 2026 행복양육프로그램 [도깨비 소동],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
74,28,[영등포문화재단] 영등포아트홀 상주단체 '서울발레시어터' [해설이 있는 고전발레],2026-08-22,2026-08-22,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157907&menuNo=200008,[서울시 문화행사] 무용 | [영등포문화재단] 영등포아트홀 상주단체 '서울발레시어터' [해설이 있는 고전발레],family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
75,28,[세종문화회관] 김혜경 on Sync Next 26,2026-08-21,2026-08-24,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158774&menuNo=200008,[서울시 문화행사] 무용 | [세종문화회관] 김혜경 on Sync Next 26,family:0.8;couple:0.9;single:0.8;공연;문화;실시간행사
